Title,default,default_short,stability,technical
Magic marker,"This object appears as a long, slender tool, often depicted in a vibrant color like blue or red. It has a pointed tip that looks like it's designed for writing or drawing. Its surface is smooth and glossy, with a removable cap on one end.","This object is a standard-sized, cylindrical writing tool, often depicted in black or vibrant colors. It has a pointed tip for marking and is usually capped when not in use.","A Magic marker from NetHack is a cylindrical object with a pointed tip, similar to a modern marker pen. It is primarily black in color with white details indicating the tip and the middle part of the marker. It should look simple and unadorned, as befits an item from a classic ASCII-based game.","The object is cylindrical in shape, akin to a regular handheld writing tool, with a pointed tip on one end. It is primarily black in color, with a bright white band around its middle. The object appears smooth and has a slight reflective sheen."
Beartrap,"This object is a mechanical contraption made of iron, consisting of a central plate surrounded by powerful, jagged jaws. It lays flat on the ground, ready to snap shut with immense force when triggered. A chain is attached to it, intended to anchor it to a fixed point and prevent its removal.","This object is a mechanical device made of metal, featuring a set of sharp, tooth-like prongs that are designed to snap shut on an animal's limb. It is typically concealed on the ground and is activated by pressure.","A beartrap from the game NetHack is a square-shaped object with sharp, jagged teeth on the inner edges. It is made of silver metal and features a heavy chain attached to one side. The trap is typically open, ready to snap shut on unsuspecting victims.","This object appears as a small, flat, circular metal mechanism with two semicircular jaws protruding from its center, designed to snap shut when triggered. It is a metallic grey in colour, with visible sharp teeth lining the inner edges of the jaws. The object also features a chain attached to one side, suggesting it can be anchored to a fixed point."
Whistle,"This small, cylindrical object is made of polished silver, with a slight curve at one end leading to a rounded mouthpiece. A pea is housed within the tube, visible through a tiny hole in the side. Intricate engravings decorate its surface, giving it an air of ancient mystique.","It's a small, cylindrical object, typically metallic, with a narrow top and a hole at one end for blowing air through. The other end is often flared and has a small ball inside that vibrates to produce a sharp, piercing sound.","A small, circular object with a small hole on the top, resembling a typical whistle. It is metallic, reflecting light, and predominantly silver in color. The whistle is simple, with no additional features or decorations, indicative of its practical use in the game NetHack.","This object is a small, cylindrical device, typically fashioned from a metallic material that gives it a silver or brass hue. It has a narrow, rectangular mouthpiece at one end, and a small, circular opening at the other. There may be a small pea visible inside the body of the object, and it may be attached to a thin, cord-like loop."
Flute,"This object is a slender, cylindrical musical instrument typically made of wood or metal. It features a series of holes along its body, which can be covered or uncovered to produce different notes. At one end, there's a mouthpiece where the musician blows air to create sound.","This is a slender, cylindrical instrument made of wood, with a series of holes along its body and a mouthpiece at one end. It has a polished surface and is typically light brown in color.","A silver, cylindrical object with a slight taper towards one end, resembling a traditional Western concert flute. It features a series of circular holes along its body, with a mouthpiece at the tapered end. The flute has a polished, reflective surface.","The object is a long, slender tube, slightly tapered at one end with a series of circular holes along its body. It has a gleaming silver colour, giving it a polished and elegant appearance. The end opposite the taper features a small, rounded protrusion, also in silver."
Horn,"This object is a long, slightly curved instrument, tapered at one end into a small mouthpiece and flaring out at the other end into a large bell. It is typically made of a polished brass-like material, giving it a shiny, golden appearance. Intricate engravings and designs may adorn its surface, adding to its antiquated, mystical allure.","This object is a long, curved instrument, tapering to a narrow end with a flared opening at the other end. It is typically made of brass and has a shiny, polished surface.","A curved, elongated object resembling a traditional musical horn, primarily in a shade of dull yellow or gold. It has a narrow, tapered end that widens into a larger, bell-shaped opening. Distinctive features include intricate etchings or markings along the body, typical of artifacts in the game NetHack.","The object is a long, slightly curved cylindrical shape that tapers to a point at one end, resembling a musical wind instrument. It has a small, circular opening at the wider end. The object is a solid, glossy black colour."
Harp,"This object is a small, handheld musical instrument with a curved, wooden frame. Numerous strings, ranging in size to create different pitches, are tightly strung from the curved neck down to the resonating body. Its polished surface gleams, reflecting light softly, while the strings wait to be plucked to produce melodious sounds.","This is a small, triangular-shaped stringed instrument with numerous strings stretched across its frame, typically made of wood. It has a curved neck and a hollow body that resonates the sound of the plucked strings.","The harp is a small, handheld musical instrument, traditionally shaped like a triangular prism with a curved top. It's made from a rich, polished mahogany wood, and has numerous golden strings stretched across its body. The strings are arranged in a descending order, creating a unique pattern that is synonymous with the harp.","This object appears as a small, triangular item with a curved top, typically depicted in a golden or yellow hue. It features a series of parallel lines extending from the base to the top, representing strings. The object's edges are slightly rounded, giving it a smooth and polished look."
Bell,"This is a small, handheld object, fashioned from gleaming brass. It has a bulbous base that tapers to a curved handle, which is adorned with intricate carvings. Inside the hollow body, a tiny clapper swings, ready to emit a clear, resonant sound when shaken or struck.","It's a small, round metallic object with a tiny clapper inside, usually attached to a short, curved handle. Its polished surface reflects light, and it has a slight resonance when moved or shaken.","A small, circular object with a slightly flared bottom, resembling a traditional handbell. The bell is a shiny, metallic gold colour. It features a tiny clapper inside, visible through a thin slit, and a short, sturdy handle on top.","This object appears as a small, round, and slightly elongated item with a narrow top that ends in a loop for hanging. It has a tiny clapper visible inside, and the entire object is uniformly golden in colour. Its surface is smooth and polished, reflecting light brightly."
Bugle,"This object is a brass wind instrument, elongated and flared at the end, with a small, circular mouthpiece at the opposite side. It has a smooth, polished surface that gleams under light, and lacks valves or keys, making it appear simple and unadorned. Despite its simplicity, its curves give it an elegant, classic look.","This object is a brass wind instrument with a flared bell and a narrow, coiled tube that widens towards the end. It has no valves or other pitch-altering devices, relying solely on the player's embouchure to change notes.","A bugle from the game NetHack is a simple, curved brass instrument, resembling a small trumpet without valves. It has a shiny, golden hue and a flared bell at the end. The bugle is often depicted with a thin mouthpiece and a slight bend in its structure.","The object is a conical, wind instrument with a flared bell at the end, resembling a small trumpet. It is made of polished brass, giving it a bright, golden hue. It lacks valves or keys, featuring only a simple mouthpiece at the narrow end."
Drum,"A cylindrical object, seemingly handcrafted from a light-colored wood, is encircled by two taut, slightly reflective membranes on its top and bottom. A simple, yet sturdy, leather strap is attached to its side, allowing it to be carried or hung up. Two small wooden sticks, with rounded ends for striking, accompany the object.","The object is a cylindrical percussion instrument with a taut, stretched material covering each end. It has a narrow waist in the middle and is typically paired with two wooden drumsticks.",A cylindrical drum object from the game NetHack. It has a classic wooden brown colour with white drumheads on the top and bottom. The drum has two drumsticks crossing each other on the top.,"This object is cylindrical in shape, similar to a barrel, with a flat top and bottom that are slightly larger than the body. It has a light brown, wooden texture with two darker brown, circular areas on the top and bottom. A thin, black strap is attached to its side for carrying."
Pick-axe,"This tool features a long, sturdy wooden handle attached to a metal head with two ends: one pointed for breaking through hard surfaces and another, flatter side for prying or chopping. Its worn appearance suggests frequent use, and its weight indicates it's designed for heavy-duty work. The handle is slightly curved for better grip and leverage during use.","This tool features a long, sturdy wooden handle attached to a dual-sided metal head, one side pointed and the other flat and chisel-like, designed for digging and chipping. Its overall appearance is rugged and utilitarian, indicative of its heavy-duty purpose.","A pick-axe from the game NetHack is a medium-sized tool, primarily grey in colour. It has a long, straight handle ending in a sharp, double-sided metal head, one side being a pointed tip and the other a flat chisel. The item is typically depicted with a slight shine, indicating its metallic properties.","This object appears as a long, straight tool with a flat, rectangular metal head at one end, split into two sharp points. One point is shorter and more chisel-like, while the other is longer and more spike-like. It is predominantly grey in colour, indicative of metal, with a darker handle that could suggest wood or a similar material."
Grappling hook,"This object is a long, sturdy pole made of metal, with a sharp, multi-pronged hook attached to one end. A strong, durable rope is fastened securely to the end of the pole opposite the hook. The hook and pole have a worn, weathered look, suggesting frequent use.","It's a long, sturdy rod with a multi-pronged hook at one end, attached to a thick, coiled rope. The hook is designed to grip securely onto surfaces, while the rod and rope allow for pulling or climbing.","A grappling hook is a three-pronged, metallic object with a curved, sharp end on each prong. It's attached to a long, sturdy rope. The overall color scheme is a combination of steel grey for the hook and dark brown for the rope.","The object is a long, thin, metallic rod that curves into a sharp point at one end, while the other end splits into a pair of curved hooks, each ending in a pointed tip. The rod and hooks have a silver-grey hue, suggesting they are made of steel or a similar metal. The hooks are angled slightly inward, forming a shape reminiscent of a bird's talons."
Unicorn horn,"This object is a long, slender spiral shaft, tapering to a sharp point, with a pearlescent sheen. It is polished smooth and appears both delicate and sturdy. The color varies from pure white to a deep, shimmering opalescent hue.","This object is a long, spiraled horn tapering to a sharp point, with a pearly white color that seems to shimmer with an iridescent glow. It is smooth and polished, appearing both delicate and strong.","The object is a long, spiraling horn with a sharp point, resembling the mythical unicorn's horn. It is a pearlescent white color, reflecting subtle rainbow hues. The horn has a slight curve and is characterized by its smooth texture and spiral ridges that run its length.","The object is a long, slender, and spirally twisted entity, tapering to a sharp point at one end. It has a smooth and glossy surface, exuding a pure white hue. The object's curvature is gentle, yet it maintains a consistent twist along its length."
Candelabrum of Invocation,"This object is a large, ornate seven-branched candelabrum, intricately designed with symbols and patterns. Each branch curves elegantly upwards to hold a single candle, with the center branch being slightly taller than the others. Made of gold, it gleams under light, accentuating its grandeur and historical significance.","This is a seven-branched candlestick made of gold, with a central stem and three curving arms on each side. Each arm ends in a holder designed to hold a lit candle.","The Candelabrum of Invocation is a seven-branched golden candelabrum, with small, glowing candles at each end. It's ornately decorated with intricate carvings and symbols, reminiscent of mystical and arcane rituals. It radiates a subtle, enchanting light, illuminating the surrounding darkness.","This object is a seven-branched candelabrum, resembling a menorah, made entirely of gleaming gold. It stands on a sturdy base, with its seven candle holders arranged in a symmetrical pattern - one central holder elevated slightly above the three on either side. The candelabrum is empty, with no candles or other objects within its holders."
Bell of Opening,"This is a small, ornate bell made of a gleaming golden metal. Intricate symbols and runes are etched around its surface, giving it an aura of ancient mystique. Its handle is elegantly curved, and it culminates in a tiny clapper that moves freely within the bell, ready to produce a clear, resonant sound.","It's a small, polished brass bell with a sturdy handle, and a delicate clapper inside that creates a clear, resonant sound when rung. Intricate runes are etched around its surface, giving it an aura of ancient mysticism.","The Bell of Opening is a small, handheld bell with a slightly flared base and a short handle, typically depicted in a vibrant golden hue. It features a single clapper inside that is visible through a narrow slit, and its surface is smooth and shiny, reflecting light. The bell is often associated with magical symbols or runes, hinting at its special powers within the game.","The object is a small, handheld bell with a round base that tapers into a narrower top, ending with a small, curved handle. It is made entirely of a gleaming silver metal that catches the light. The bell also has a small clapper inside, visible through the narrow opening at the bottom."
Tripe ration,"This item appears as a chunk of nondescript, slightly shiny meat, with multiple layers of soft, sponge-like textures in varying shades of brown and cream. It's irregularly shaped, resembling a crumpled piece of cloth. The surface has a wet, glistening look, suggestive of its freshness and moistness.","This item appears as a chunk of offal from the stomachs of ruminants, displaying a spongy texture and a light brown color. It's irregularly shaped, with visible folds and creases.","The Tripe ration object from NetHack is a small, round object, resembling a bundle or parcel. It is primarily brown in color, with hints of yellow and beige. It has a rough, textured surface indicating its organic nature.","The object is a small, irregularly rounded shape, similar to a crumpled piece of material. It exhibits a range of colors from off-white to varying shades of brown, with some areas possibly appearing slightly greenish. The surface is textured, mimicking the appearance of natural, unprocessed meat."
Corpse,"Lying motionless and lifeless, the entity is a pale, eerie remnant of what it once was, with skin stretched tight over protruding bones. Its eyes are vacant, and its body is marred by signs of violence or decay. The sight of it evokes a sense of dread and revulsion.","It's a lifeless, human-shaped figure with pale, cold skin and vacant eyes, clad in worn-out armor. Various injuries and signs of decay are visible on its surface.","A Corpse object from the game NetHack should be depicted as a small, rectangular shape, similar to a body wrapped in a shroud. The color should be a muted, earthy brown with darker shades suggesting decay. Key characteristics include a slightly uneven surface to indicate its organic nature and possibly a small skull or bone symbol to denote its deceased state.","The object is a two-dimensional, pixelated representation of a human body, lying supine. It is primarily grey in colour, with darker shades outlining the shape of the body and limbs. There are no additional items or accessories depicted on or around the object."
Egg,"This object is a small, oval-shaped item with a smooth, hard shell that can range in color from white to brown. Its size is slightly larger than a golf ball but smaller than a tennis ball. It's lightweight, delicate, and can be easily broken if not handled with care.","This object is a small, oval-shaped item with a smooth, slightly shiny surface, typically white or light brown in color. It's similar in appearance to a regular chicken egg.","The object is an egg from the game NetHack. It is oval-shaped, predominantly white with slight shading for depth and dimension. The egg is simple and smooth, without any additional markings or textures.","The object is oval in shape, mimicking the natural form of a real-life egg. It has a smooth, slightly shiny surface with a uniform, off-white colour. It is small enough to be held in one hand and appears lightweight, with no additional adornments or features."
Meatball,"This object is a small, round item with a brownish-red hue, suggesting it's made of ground meat. Its surface is slightly rough and uneven, with tiny specks of spices visible. Despite its simplistic appearance, it gives off an appetizing aroma.","A small, round object with a brown, slightly textured surface. It has a soft, slightly moist appearance, similar to a cooked ground meat sphere.","A round, medium-sized object resembling a traditional meatball, with a rich brown color and textured surface indicating a rough, meaty consistency. It should have slight shadows and highlights to emphasize its 3D form. The object is set against the simplistic, pixelated background characteristic of the game NetHack.","This object appears as a small, round item with a brownish-red hue, mimicking the appearance of cooked ground meat. It has a slightly irregular surface, suggesting a hand-rolled formation. The object is not adorned with any additional elements or details."
Meat stick,"This item appears as a long, slender rod made entirely of compressed, dried meat, roughly the size of a pencil but significantly thicker. Its surface is textured and uneven, showcasing a deep brown color indicative of its cured nature. Despite its simplicity, one end tapers to a point, making it resemble a rudimentary, edible tool or weapon.","It's a cylindrical piece of dried meat, similar to a slim sausage, with a slightly rough, brown exterior. The meat stick is compact and portable, typically about the length of a human hand.","A meat stick from NetHack is a small, cylindrical object with a dark brown color, similar to a beef jerky stick. It has a rough texture and may show slight curves or bends. It's often represented with a simple, minimalist pixel art style.","This object appears as a small, elongated cylinder, resembling a typical sausage or hot dog. It is uniformly brown in color, suggesting it's cooked or smoked. It has a smooth texture and does not have any additional features or embellishments."
Huge chunk of meat,"This object is a substantial slab of raw, red meat, marbled with streaks of white fat. It's roughly rectangular, but its edges are irregular, as if it's been hastily cut from a larger animal. Despite its size, it's still manageable for a single person to carry, though it would be quite heavy.","It's a sizable, raw slab of red meat with visible marbling and a rough, uneven surface. It's still attached to a large bone, hinting at its origin from a large animal.","A massive, irregularly shaped chunk of meat from the game NetHack. It's a vibrant, deep red color, with visible marbling and texture indicating its raw, uncooked state. Notable characteristics include its size, rough edges, and slightly glossy surface.","This object is a sizable, irregularly shaped piece, resembling the raw cut of a large animal. It possesses a deep red hue, indicative of uncooked flesh, with visible marbling of white fat throughout. There are no distinguishing features or carried items, just the raw, unadorned mass of meat."
Meat ring,"This object appears as a circular band, seemingly crafted from a dark, dried meat product akin to jerky. It has a rough, textured surface with the color varying from dark brown to reddish hues. Despite its unconventional material, it maintains a consistent ring shape, appearing sturdy and wearable.","This object appears as a simple band, possibly made from bone or other organic material, with a slightly uneven, rough texture. It is tinted a reddish-brown color, reminiscent of dried meat or blood.","A circular, ring-shaped object made of a deep red, meat-like texture, similar to raw steak. The ring is small, fitting comfortably on a finger, and has a smooth, slightly moist appearance. It is displayed against the pixelated, dungeon-like background typical of the NetHack game.","This object is a circular band, embodying the typical shape of a ring. It exhibits a unique, deep reddish-brown hue, reminiscent of cooked meat. The ring is smooth and appears to be uniformly textured throughout, with no additional embellishments or carried items."
Kelp frond,"This object appears as a long, flexible strip, with a deep green color, glossy texture, and a wavy edge, resembling a leafy underwater plant. It is thin and flat, with a slightly ruffled appearance, and seems to undulate as if moving with the currents of the ocean. Its surface is speckled with tiny, lighter green dots, giving it a slightly mottled look.","This object appears as a long, slender, green leaf with wavy edges, resembling a piece of seaweed. It has a smooth, glossy surface and tapers to a point at one end.","The Kelp frond is a long, slender object with a slightly wavy edge, resembling a leaf of seaweed. It is primarily a deep green color, with lighter green or yellowish details to suggest texture and depth. The frond should appear flexible and slightly translucent, indicative of its aquatic origin.","This object appears as a long, slender strip with a slight curve, mimicking the natural structure of underwater plant life. Its color ranges from a deep, forest green at the base, gradually lightening to a more vibrant, lime green at the tips. The surface texture is smooth and glossy, reminiscent of wet vegetation."
Eucalyptus leaf,"This object is a slender, elongated leaf with a pointed tip, displaying a vibrant green color. It has a leathery texture with a glossy surface, and its veins are clearly visible, branching out from the central vein towards the edges. The leaf has a slightly curved shape, typical of the foliage of tall, aromatic trees native to Australia.","The object is a slender, elongated leaf with a pointed tip, characterized by a rich green color and prominent central vein. Its surface is smooth and glossy, with slight curves along its length.","The Eucalyptus leaf is a small, elongated object with a sharp point at the end, resembling a real-world eucalyptus leaf. It has a vibrant green color, with subtle variations of darker and lighter shades. Its edges are slightly jagged, and it possesses a distinct central vein running from base to tip.","This object appears as a small, elongated oval shape with pointed ends, mimicking the structure of a real-world leaf. It showcases a vibrant green colour, symbolising its natural origin. The surface displays a subtle texture, replicating the vein-like patterns typically found on leaves."
Apple,"This object is a round, medium-sized fruit with a glossy, red exterior. It has a short, brown stem protruding from the top, and a faint, five-pointed star visible on the bottom. Its interior is crisp, white, and juicy, with a small cluster of brown seeds at the core.","This object is a small, round fruit with a smooth, shiny red or green skin and a white, crisp interior surrounding a core with seeds. It also has a small, brown stem protruding from the top.",The Apple object from the game NetHack is a round fruit with a bright red color. It has a short brown stem at the top and a slightly indented bottom. The skin of the apple is smooth and glossy.,"The object is round in shape, with a slight taper at the top where a small brown stem protrudes. It has a smooth, shiny surface that is predominantly red, though it may have patches of yellow or green. There is a slight indentation at the very top, around the base of the stem."
Orange,"This object is a round, brightly colored fruit with a rough, dimpled outer peel that's vibrant orange in color. The inside is segmented into juicy sections of a lighter orange hue. It's slightly larger than a tennis ball, and its shape is not perfectly round, having a slightly flattened top and bottom.","This object is a round, brightly colored citrus fruit with a thick, pebbled skin. Its vibrant orange color gives way to a lighter, segmented interior when peeled.","A round, bright orange object with a smooth texture, resembling a typical orange fruit. It is small in size, relative to the scale of the game, and emits a slight glow. The object is simple and lacks additional detailing or features.","The object is spherical in shape, with a rough, dimpled surface texture. It exhibits a vibrant, bright orange colour throughout its entirety. There are no additional features or carried items, maintaining a simple, unadorned appearance."
Pear,"This object is a small, rounded fruit, slightly larger at the bottom than the top. It features a smooth, green skin that might have a slight blush, and a brown stem protruding from its top. Inside, it has a white, juicy flesh surrounding a central core filled with small, hard seeds.","This object is a small, rounded fruit with a bulbous bottom and a tapering top, featuring a green or yellow skin. It has a brown stem protruding from its top.","The object is a pear-shaped fruit with a greenish-yellow color, typical of a ripe pear. It has a slightly rough texture and a distinct curve at the top, tapering down to a point at the bottom. The pear also features a brown stem at the top.","The object is small and oval-shaped, tapering to a point at one end. It has a vibrant green colour and a slight sheen, giving it a fresh and juicy appearance. The object also features a brown stem at its top, adding to its organic and natural look."
Melon,"This object appears as a large, round fruit with a hard, smooth, striped green outer shell. Its interior, revealed when cut open, is juicy and bright red, interspersed with small, flat, black seeds. Its stem, a short, gnarled protrusion, is located at the top.","This object is a round, medium-sized fruit with a hard, green-striped rind. Inside, the juicy flesh is bright red, interspersed with small, flat black seeds.","A round, medium-sized object with a smooth texture and a vibrant green colour. It should have a distinctive melon pattern with lighter and darker green stripes spiraling around it. The object is solid with no visible cuts or slices.","This object is round and sizable, similar to a sphere but slightly elongated at the ends. It has a bright green exterior that is slightly striped or mottled with a lighter shade of green. It is smooth and shiny, appearing firm and solid without any additional features or accessories."
Banana,"This object is a long, slender, crescent-shaped fruit with a bright yellow peel. It has a soft, creamy interior that is exposed when the peel is pulled back. It has a small, pointed tip at one end and a short, stubby stem at the other.","This object is a long, curved fruit with a bright yellow peel. Inside, it has a soft, creamy flesh that is white to light yellow in color.","The object is a banana from the game NetHack. It is elongated and curved with a bright yellow color, tapering towards the ends. The banana has a distinct three-part peel at the top, symbolizing its ripeness.","This object is a crescent-shaped item with a smooth texture and pointed ends. It's primarily a bright yellow hue, but it can also have small brown spots or areas. The object is typically depicted in a two-dimensional, simplistic style."
Carrot,"This object is a long, slender, and tapered root vegetable with a vibrant orange hue. It has a rough outer skin and a bright green leafy top. The top part of this edible root protrudes slightly, revealing its distinctive shape and color.","This object is a tapered, elongated root vegetable with a bright orange color and a leafy green top. It has a smooth skin and a pointed end.","The object is a carrot from the game NetHack. It has a long, conical shape with a bright orange color and a green top, signifying the leaves. The texture is smooth with a few horizontal lines, indicating the layers of the carrot.","This object is a long, slender, conical shape, tapering to a point at one end and broadening at the other. It is predominantly orange in colour, with a small patch of green at the broader end. The object has a smooth texture and appears to be solid."
Sprig of wolfsbane,"This object appears as a small, delicate plant with narrow, pointed leaves that are a deep green color. It blooms with tiny, clustered lavender flowers that have a bright yellow center. The plant gives off a distinct, slightly pungent aroma.","This object is a small, green plant stem with a cluster of tiny, lavender flowers at the top. Its leaves are narrow and serrated, and the entire sprig has a slightly fuzzy appearance.","A sprig of wolfsbane is a small, delicate plant object with a bright green color. It has narrow, pointed leaves that radiate out from a central stem. It should look slightly mystical and potent, as it's used for magical purposes in the game.","The object is a small, delicate sprig with thin, elongated leaves extending from a central stem. The leaves have a rich green colour, while the stem has a slightly lighter hue. It appears unassuming and is not adorned with any additional features or items."
Clove of garlic,"This object appears as a small, pale bulb made up of multiple segments, each enclosed in a thin, papery white skin. Its shape is slightly rounded at the bottom, tapering to a point at the top. When broken open, the interior reveals a cream-colored, solid substance.","This object is a small, white bulb comprised of several individual segments, each encased in a thin, papery husk. Its top is pointed, and its base is flat, with a rough, dry texture.","A clove of garlic from the NetHack game is a small, teardrop-shaped object with a white to off-white color. It has a slightly textured surface, giving it a realistic appearance. The base is wider and the top tapers to a point, similar to a real garlic clove.","This object is small and bulbous, segmented into individual pieces that taper to a point at one end. Its color is a pale, off-white, with hints of yellow and brown, especially near the base. The surface texture appears slightly wrinkled and papery."
Slime mold,"This entity appears as a semi-translucent, gelatinous mass, varying in shades of green to yellow. It lacks any discernible features such as eyes or a mouth, and its shape constantly shifts and flows, giving it an amorphous, blob-like appearance. Its surface glistens and appears wet, adding to its overall slimy and unsettling aesthetic.","This entity appears as a formless, gelatinous mass with a semi-transparent, greenish hue. It constantly shifts and undulates, exuding a moist sheen.","The Slime mold object from NetHack is a small, round object with a bright yellow color, resembling a real-world slime mold or a piece of fruit. It has a soft, squishy texture and a shiny, slightly translucent surface. It is often depicted in a simple, cartoonish style, without any distinct features or details.","This object appears as a small, amorphous blob with an irregular, gelatinous form. Its colour ranges from a bright, almost fluorescent green to a darker, murkier shade of the same hue. Despite its lack of any discernible features, it gives off a subtly pulsating glow."
Lump of royal jelly,"This object appears as a small, gelatinous mass with a vibrant golden-yellow hue, akin to a large, amorphous dollop of honey. It has a glossy, translucent surface that catches the light, giving it a slightly iridescent sheen. Despite its somewhat irregular shape, it retains a certain plumpness, as if filled with a dense, rich substance.","This object appears as a small, semi-translucent mass with a golden-yellow hue, resembling a condensed glob of honey. It has a gelatinous texture and a slightly irregular, rounded shape.","A small, irregularly shaped object with a gelatinous texture, the lump of royal jelly from NetHack is a vibrant yellow in color. It has a glossy, translucent appearance and is often depicted with small bubbles or specks within. Despite its small size, it has a distinctive, rich and dense look.","This object appears as a small, irregularly shaped mass, somewhat akin to a misshapen blob or clump. Its texture appears to be smooth and glossy, almost gelatinous. The colour is a rich, vibrant yellow, reminiscent of gold or amber."
Cream pie,"A smooth, circular pastry filled with a rich, creamy filling, topped with a layer of fluffy whipped cream. The crust is a golden-brown, crimped at the edges, and the filling is a pure, unblemished white. A few droplets of cream might be seen trickling down the sides, revealing the pie's fresh, moist texture.","It's a small, round dessert with a flaky crust filled with a creamy, white filling, often topped with a dusting of powdered sugar. The edges of the pie are crimped, and it may occasionally have a dollop of whipped cream on top.","The Cream pie object from NetHack is a circular pie with a creamy, off-white filling. It is often depicted with a flaky, golden-brown crust and sometimes with a dollop of whipped cream on top. The pie sits on a simple plate or table, and is a common food item in the game.","This object appears as a small, circular pastry with a slightly domed top, visually indicating a filled interior. Its crust is a golden-brown hue, while the exposed filling at the top is a creamy white. There are no additional adornments or carried items on this object."
Candy bar,"This item is a rectangular block, wrapped in a shiny, colorful foil. Inside, a layer of creamy, brown nougat is topped with a layer of caramel, both covered in a coating of smooth, rich milk chocolate. The size is small enough to fit comfortably in the palm of a hand.","This is a rectangular item wrapped in a colorful, shiny foil, with an inner layer of paper encasing a solid block of sweet, brown chocolate. The chocolate may have various fillings like nuts, caramel, or nougat.","A rectangular candy bar with a brown, textured surface, wrapped partially in a shiny, silver foil. The candy bar appears solid and dense, indicating it might be chocolate. The NetHack game's pixelated, retro aesthetic is evident in the image.","This object is a rectangular prism with a slightly longer length than width and depth, giving it a slim, flat appearance. It is wrapped in a glossy, metallic paper that is predominantly silver, with accents of red and blue. The surface of the object is smooth and flat, with no protrusions or attachments."
Fortune cookie,"A small, crisp, golden-brown, crescent-shaped biscuit with a thin piece of paper peeking out from its curved edges. The paper is pale and bears a message written in fine black ink. The biscuit has a smooth, shiny surface and appears fragile, ready to crack open at the slightest pressure.","A small, crisp, golden-brown biscuit folded into a half-moon shape, with a thin strip of white paper peeking out from its interior. The paper is printed with a brief, cryptic message.","A small, round, crisp biscuit with a curved shape, resembling a half-moon or a folded fortune cookie. It has a light golden-brown colour, with a tiny piece of white paper peeking out from its crease. This is a common item in the game NetHack, often used to deliver cryptic advice or prophecies.","This object is circular and small, resembling a half-moon or a crescent. It has a simple, unadorned texture and is presented in a monochromatic palette, typically depicted in a light tan or beige colour. It appears to be flat and thin, with a noticeable crease or indentation in the middle where it folds over."
Pancake,"This item appears as a flat, round disc with a golden-brown hue, its surface slightly crisped and textured from cooking. It's small enough to fit in the palm of a hand, and its edges are imperfect, giving it a homemade appearance. The aroma it gives off is subtly sweet and inviting, reminiscent of a warm breakfast.","It's a thin, round, golden-brown disc with a slightly crispy exterior and a soft, fluffy interior. It's typically served with syrup or butter on top.","A round, flat object with a golden-brown hue, resembling a cooked pancake. It has a slightly textured surface indicating a fluffy interior. The edges are slightly darker, indicating a crispy texture.","The object is round and flat, similar to a small disc or circle. It has a golden-brown colour, indicative of being cooked or baked. The surface appears slightly textured, but overall, it is a simple, unadorned object with no additional features or carried items."
Lembas wafer,"This object is a small, thin, circular biscuit with a light, golden-brown hue. It is unadorned and plain, lacking any noticeable markings or embellishments. Despite its simplicity, it has a slightly glossy sheen, indicating it might be lightly coated or baked to a crisp.","It's a thin, round, flat bread-like wafer, slightly golden in color. The wafer is small enough to be held in one hand and has a crisp texture.","A Lembas wafer from the game NetHack is a small, round, flat object resembling a thin cracker or biscuit. It has a light golden-brown color, with a slightly textured surface indicating its baked nature. The wafer is simple, with no additional markings or embellishments.","The object is a small, flat, circular item with a slightly uneven texture, akin to a thin biscuit or wafer. It has a light beige or cream color, suggesting it's made of some type of grain or dough. There are no distinguishing marks or features on its surface, giving it a simple, unadorned appearance."
Cram ration,"A compact, rectangular block of food, this item is wrapped in a sturdy, weathered paper packaging. It's similar in size and appearance to a large granola bar. The wrapping is marked with faded, nondescript military-style labels and symbols.","This item appears as a small, rectangular block of compacted, dried food, varying in shades of brown. It is unremarkable in appearance, similar to a military ration or energy bar.","The Cram ration from NetHack is a rectangular, flat object resembling a packaged food bar. It is primarily brown in colour, with hints of tan or beige. It should look simple and unadorned, representative of its function as a basic, long-lasting food source in the game.","The object is a small, rectangular item with slightly rounded corners, giving it a somewhat block-like appearance. It's primarily a light brown hue, with darker brown spots scattered across its surface, suggesting a texture similar to rough, dried meat. There are no additional adornments or markings on it."
Food ration,"A rectangular block wrapped tightly in a dull, aluminum foil-like material, with edges showing slight wear. The item is compact and dense, indicating its high nutritional value. There are no distinguishing marks or labels on the packaging, suggesting a focus on practicality and survival rather than branding or aesthetics.","This item is a small, compact package wrapped in brown paper, tied with string. Inside, there are various dried and canned foods, suitable for long-term storage and transport.","A rectangular, small-sized object with a silver or grey color, symbolizing packaged food. It should have a simplistic design, suggesting it's a non-perishable food item. The object may have some minor details such as a label or a simple symbol related to food or survival.","The object is rectangular in shape, resembling a compact, sealed package. It has a neutral, brown colour, indicating it could be made of paper or light cardboard. There are no discernible markings or details on its surface."
